video_id,title,description,published_at,channel_title
__VbURm5_ec,CES 10 LIVRES M’ONT RENDU PLUS INTELLIGENT,30 Jours OFFERTS sur Audible en passant par ce lien : https://www.amazon.fr/dp/B01AUIE0CK?tag=lucams-21 ...,2022-06-17T16:00:19Z,Luca MS
DZwO5KwuRIE,30 livres qui m&#39;ont marquée en 30 minutes,Bonjour Internet ! Aujourd'hui je vous présente trente romans et essais qui ont changé ma vie. ⚠️ DISCLAIMER ⚠️ En dehors ...,2022-08-06T08:01:28Z,Margorito
65rTa6fVF9E,10 livres de développement personnel pour une transformation radicale en 2023,Bienvenue dans cette vidéo dédiée aux 10 meilleurs livres de développement personnel à lire en 2023. Que vous soyez à la ...,2023-05-08T16:01:26Z,Maison du Savoir
o-VNlbZpurw,Faut-il lire sur Kindle ou sur un livre physique ?,Formation OFFERTE pour Retenir ce que tu lis : https://feraste.podia.com/retenir-tout-ce-que-vous-lisez ☝️ 5 vidéos exclusives ...,2022-06-20T13:22:42Z,feraste
uUMD0W7pytU,Acheter des livres MOINS CHERS 📚💸 toutes mes astuces (en magasin ou sur internet),"Où trouver les meilleures bonnes affaires pour acheter des romans, des BD ou encore des mangas les moins chers possibles ?",2023-12-16T09:00:38Z,Audrey - Le Souffle des Mots
4hhiGrovsQI,mon avis sur les livres BOOKTOK : overhyped? 📚,hello!! welcome to une nouvelle vidéo de livres   j'espère qu'elle vous a plu!! LIVRES MENTIONNÉS : les 7 maris d'evelyn ...,2023-04-16T12:00:05Z,Elsa Carla
MRyHdC8BtOY,Comment mettre un livre sur une liseuse Kindle ? [tuto facile],Voici une présentation de toutes les façons pour mettre un livre sur une liseuse Kindle. Abonnez-vous à la newsletter pour ...,2022-09-08T12:28:17Z,Liseuse et ebook
F-IZxgJl0vE,des livres pour te faire aimer la lecture!!,hi frenz ツ v i n t e d : https://www.vinted.fr/member/19436089-leoniie2509 p i n t e r e s t : https://www.pinterest.fr/nonie4337 ...,2021-12-26T08:30:04Z,léo
gPEQoXayzqU,Je lis le livre le PLUS MAL NOTÉ de LIVRADDICT (pour que vous n&#39;ayez pas à le faire)📚😭,Site de Livraddict : https://www.livraddict.com/ Titre de la vidéo inspiré de ma copine @Jeannotselivre ❤️,2023-10-14T07:00:30Z,Christiane Tran
dBX_mLT5f3c,NORMAN - LES LIVRES (produits non essentiels),LIEN POUR ACHETER MON LIVRE ⬇️ https://bit.ly/3m8XxnS J'ai appris à lire en CP et pourtant j'ai toujours du mal... Merci à ...,2020-11-25T12:10:04Z,Norman
JmSxGdWUQe0,J&#39;ai lu plus de 300 livres et voici les 3 meilleurs !,"Rejoins Maintenant mon Club Privé! Mon Club c'est: des analyses pointues de cryptos à fort potentiel, des projets en ...",2021-07-30T15:30:03Z,Julien Roman | Crypto & Analyses
fENkCfMAFBI,L’art de la guerre. Sun Tzu. Livre audio gratuit,Écoutez d'autres livres ici : https://amzn.to/4eTNjRw Abonnez-vous à notre chaîne Telegram - https://t.me/lvrutiles Description: Le ...,2023-12-28T09:04:51Z,Livres utiles
TvQ9AbWVuTU,LA LECTURE TRANSFORME VOTRE CERVEAU,"Merci aux éditions Pocket pour la sponso, le livre ""Mémoire vous avez de le pouvoir"" est dispo ici ...",2023-09-02T12:44:03Z,Charlie Haid
N2mIBTubmvs,{Tricot} Mon avis sur le livre &quot;Tricoter ses chaussettes&quot; d&#39;Elodie Morand et Emilie Drouin,"tricot #livre #avis Dans cette vidéo, je vous donne mon avis sur le livre ""Tricoter ses chaussettes"" d'Elodie Morand et Emilie ...",2021-02-08T17:00:06Z,Knit Spirit
H13SZ1j3bLM,Comment Tiktok bouleverse l&#39;industrie du livre ? (Documentaire),"Je suis ravie de vous retrouver pour ce nouveau documentaire À la page. Cette fois-ci, je m'intéresse à Tiktok et comment la ...",2023-03-25T08:30:06Z,Jeannot se livre
v_0lc3VJ0zw,MES LIVRES DU BOOKTOK !! 🌷,Hello j'espère que vous allez bien aujourd'hui on se retrouve pour une nouvelle vidéo en espérant qu'elle vous plaise ...,2023-10-07T15:46:37Z,Une fille ordinaire
LoByAiou6dA,MES LIVRES DU BOOKTOK PRÉFÉRÉS | ッ,"Hey, j'espère que la vidéo t'a plu :) ❧ ❧ ❧ Si vous avez besoin de parler, mes dm sur insta sont toujours ouvert ! (Mon insta c'est ...",2023-05-07T16:00:12Z,Irl Idoia
Z96uMsIGs9M,Le Livre d&#39;Hénoch Interdit Dans la Bible Raconte la Véritable Histoire de l&#39;Humanité,"Élevez votre style avec cette incroyable collection ! https://ANCESTRA.shop Dans son intégralité, le livre d'Hénoch est ...",2023-02-11T09:30:07Z,Universe Inside You FRANCE
WXfTq4c9JmE,La discipline personnelle. Développer sa personnalité. Michael Wilson. Livre audio complet,Écouter les nouveaux best-sellers : https://amzn.to/48hd5wy Abonnez-vous à notre chaîne Telegram - https://t.me/lvrutiles Le ...,2022-06-02T09:18:10Z,Livres utiles
QT2j3oppD2w,Comment Lire 1 Livre par Semaine Facilement (+ 33 livres que je recommande),Télécharge gratuitement ma liste de 33 livres pour améliorer ta vie : https://emilioab.co/outils — Dans cette vidéo je partage avec ...,2021-09-05T08:00:22Z,Emilio
-arO-Gn-GS8,Dia dos Pais no Mercado Livre,"O Mercado Livre tem tudo pro seu pai mostrar que é maneiro com originalidade. Do aspirador ao drone, o melhor tá chegando.",2023-07-24T12:40:22Z,Mercado Livre Brasil
fQs-Jg8Hrko,L’homme le plus riche de Babylone. George S. Clason. Livre audio complet,Écouter les nouveaux best-sellers : https://amzn.to/48hd5wy Abonnez-vous à notre chaîne Telegram - https://t.me/lvrutiles ...,2022-08-11T10:01:36Z,Livres utiles
stJNqUsmO6A,Dragon Ball - Le super livre - Tome 01: L&#39;histoire et l&#39;univers,Présentation du SUPER LIVRE DRAGON BALL. Un livre de plus de 300 pages sur tout l'univers Dragon Ball. Retrouve mes ...,2022-03-04T16:05:41Z,David Grogeta
